entity,year,schizophrenia,bipolar_disorder,eating_disorder,anxiety_disorder,substance_use_disorder,depression,alcohol_use_disorder
Afghanistan,2008,0.164639,0.70448,0.093589,4.860437,2.483862,4.129656,0.659501
Albania,2008,0.198306,0.7024,0.154945,3.390168,0.497332,2.210642,1.79855
Algeria,2008,0.196505,0.813799,0.200467,5.033206,1.626479,3.625686,0.658998
American Samoa,2008,0.249795,0.468167,0.180871,3.308244,0.761529,2.937491,1.129116
Andean Latin America,2008,0.198219,0.878658,0.326929,4.257756,0.669442,2.612098,1.598278
Andorra,2008,0.264692,0.960907,0.645572,5.278367,0.90168,3.70869,1.248914
Angola,2008,0.168468,0.621418,0.147989,3.270857,0.502118,4.166877,1.384554
Antigua and Barbuda,2008,0.205359,0.925551,0.345447,4.633913,0.786203,2.550374,2.104989
Argentina,2008,0.19718,0.770661,0.372471,6.265572,0.94799,3.649862,1.980933
Armenia,2008,0.193609,0.715228,0.148043,2.589342,0.468274,2.707865,1.966586
Australasia,2008,0.362079,1.158563,0.872634,6.986595,2.018358,4.742923,1.501923
Australia,2008,0.366204,1.149689,0.915572,6.650491,2.003808,4.882334,1.478267
Austria,2008,0.256326,0.94,0.658034,5.354,0.903646,3.311979,1.950768
Azerbaijan,2008,0.193018,0.68503,0.167477,2.566022,0.455956,2.545706,2.260461
Bahamas,2008,0.205231,0.888828,0.369795,4.655485,0.807092,2.615308,2.094493
Bahrain,2008,0.206382,0.835198,0.25958,4.653424,1.700469,4.056973,0.740531
Bangladesh,2008,0.250971,0.58173,0.117474,4.246932,0.498143,4.224998,1.405777
Barbados,2008,0.230442,0.919387,0.324985,4.667015,0.853825,2.73648,1.588849
Belarus,2008,0.193534,0.697275,0.183547,2.940125,0.775459,4.129334,5.432642
Belgium,2008,0.258193,0.948343,0.579555,5.215843,0.831726,4.067485,1.451158
Belize,2008,0.193839,0.878344,0.250487,4.541753,0.840363,2.84611,1.753954
Benin,2008,0.168981,0.638026,0.114768,2.899038,0.485993,3.620118,0.989442
Bermuda,2008,0.221406,0.973537,0.483459,4.68773,0.881864,2.879011,1.507862
Bhutan,2008,0.263935,0.591106,0.150691,3.772876,0.510724,3.411285,2.280087
Bolivia,2008,0.190613,0.850251,0.271692,4.232614,0.908873,3.142402,1.624688
Bosnia and Herzegovina,2008,0.198802,0.715973,0.157197,3.400497,0.430575,2.389821,2.825278
Botswana,2008,0.178518,0.635729,0.208,3.495495,0.709856,4.04105,1.610139
Brazil,2008,0.20379,1.104679,0.257158,6.39738,1.011868,3.73573,2.702302
Brunei,2008,0.272257,0.628337,0.550064,3.627582,0.884252,2.535507,0.766046
Bulgaria,2008,0.199193,0.629057,0.181771,3.587616,0.671016,2.57455,1.813887
Burkina Faso,2008,0.162306,0.61954,0.104324,2.889682,0.41901,3.603713,0.984824
Burundi,2008,0.152813,0.61007,0.086816,3.568723,0.487983,3.804522,1.578752
