entity,year,schizophrenia,bipolar_disorder,eating_disorder,anxiety_disorder,substance_use_disorder,depression,alcohol_use_disorder
Afghanistan,2016,0.166035,0.707686,0.105808,4.878875,2.513553,4.135694,0.66185
Albania,2016,0.200845,0.704335,0.172627,3.386891,0.515036,2.206507,1.845972
Algeria,2016,0.197836,0.818315,0.212735,5.062233,1.714025,3.647817,0.665681
American Samoa,2016,0.248777,0.468379,0.178726,3.316091,0.771281,2.937781,1.142011
Andean Latin America,2016,0.201079,0.881435,0.352935,4.267248,0.664815,2.606721,1.541201
Andorra,2016,0.263603,0.963614,0.645775,5.307073,0.907981,3.726825,1.253886
Angola,2016,0.17257,0.623859,0.172163,3.294534,0.516244,4.157841,1.381018
Antigua and Barbuda,2016,0.20644,0.925316,0.350415,4.607747,0.785774,2.551108,2.150762
Argentina,2016,0.198042,0.772948,0.401108,6.280932,0.999099,3.661312,1.822573
Armenia,2016,0.196949,0.717166,0.166348,2.591219,0.499895,2.747315,1.974356
Australasia,2016,0.360303,1.15324,0.903112,6.892254,2.209542,4.553466,1.605377
Australia,2016,0.363743,1.143669,0.943991,6.589757,2.237198,4.659817,1.511465
Austria,2016,0.256783,0.939716,0.674727,5.342175,0.907326,3.262611,1.855808
Azerbaijan,2016,0.199563,0.689448,0.203629,2.581278,0.484388,2.580951,2.314679
Bahamas,2016,0.203992,0.889416,0.363759,4.655191,0.813804,2.620387,2.103189
Bahrain,2016,0.206936,0.836444,0.271042,4.66075,1.707047,3.882434,0.728528
Bangladesh,2016,0.252249,0.583181,0.135429,4.279268,0.510254,4.136923,1.460576
Barbados,2016,0.229685,0.919868,0.321753,4.663418,0.841682,2.759747,1.583089
Belarus,2016,0.197347,0.699546,0.209343,2.947224,0.782788,4.030471,5.38101
Belgium,2016,0.257856,0.946706,0.600263,5.210451,0.821391,4.109551,1.460782
Belize,2016,0.194829,0.881266,0.258188,4.565311,0.832937,2.836835,1.777433
Benin,2016,0.170172,0.63994,0.11925,2.903462,0.502539,3.628211,0.989202
Bermuda,2016,0.22145,0.974929,0.491812,4.692675,0.854506,2.828391,1.513314
Bhutan,2016,0.267347,0.595546,0.17001,3.799415,0.533551,3.429823,2.366019
Bolivia,2016,0.193412,0.853548,0.300675,4.241669,0.892894,3.093429,1.605515
Bosnia and Herzegovina,2016,0.200519,0.71792,0.171314,3.402155,0.433312,2.319066,2.835715
Botswana,2016,0.181458,0.638615,0.225158,3.50455,0.750841,3.977128,1.618811
Brazil,2016,0.205391,1.106988,0.275301,6.139401,1.05831,3.304643,2.690277
Brunei,2016,0.272262,0.62971,0.540722,3.621502,0.903239,2.548472,0.789027
Bulgaria,2016,0.202151,0.630543,0.200733,3.587363,0.700731,2.53995,1.82731
Burkina Faso,2016,0.164359,0.621511,0.111911,2.897006,0.439596,3.668645,0.998971
Burundi,2016,0.154068,0.612604,0.090019,3.579564,0.498925,3.720813,1.572661
Cambodia,2016,0.207427,0.509593,0.106761,3.288523,0.566947,3.096661,0.842034
Cameroon,2016,0.170457,0.6279,0.133,2.90618,0.585861,3.748456,1.025916
Canada,2016,0.315232,0.715789,0.475592,5.174359,2.248352,3.967491,1.612934
Cape Verde,2016,0.189658,0.709863,0.168722,2.997182,0.627406,4.087075,1.007183
Caribbean,2016,0.193835,0.884775,0.258529,4.561808,0.731084,3.069151,1.664501
Central African Republic,2016,0.148908,0.592882,0.089696,3.247573,0.514695,4.212623,1.41206
Central Asia,2016,0.191906,0.672585,0.170697,2.569972,0.513129,2.968422,2.456701
Central Europe,2016,0.205022,0.713168,0.215519,3.416183,0.677515,2.439564,2.023013
"Central Europe, Eastern Europe, and Central Asia",2016,0.197632,0.686625,0.204129,2.985787,0.729271,3.243483,3.580414
Central Latin America,2016,0.207399,0.794969,0.284335,2.958903,0.818735,2.692967,1.763155
Central Sub-Saharan Africa,2016,0.161148,0.620851,0.115085,3.260661,0.516534,4.011804,1.360681
Chad,2016,0.167757,0.626272,0.121372,2.884071,0.45368,3.890874,0.943932
Chile,2016,0.201113,0.790094,0.411006,6.273138,1.247607,4.046124,2.444073
China,2016,0.336981,0.321949,0.155511,3.049823,1.094714,3.332592,1.227793
Colombia,2016,0.206535,0.768184,0.256028,2.513075,1.087434,2.194091,1.760478
Comoros,2016,0.170013,0.658562,0.110784,3.639199,0.502297,3.316679,1.509917
Congo,2016,0.169322,0.613947,0.160298,3.268246,0.559066,4.023941,1.450176
Costa Rica,2016,0.213501,0.843299,0.286636,2.93454,0.775519,2.901079,1.466739
Cote d'Ivoire,2016,0.169549,0.619635,0.133961,2.874424,0.503819,3.315851,1.012047
Croatia,2016,0.207679,0.720549,0.217599,3.449816,0.723467,2.778055,2.08746
Cuba,2016,0.20436,0.943172,0.261384,4.623063,0.774737,3.318622,1.733105
Cyprus,2016,0.252686,0.937339,0.509021,5.305325,0.574303,3.314551,1.112195
Czech Republic,2016,0.20977,0.721308,0.242033,3.445213,0.961408,2.679913,2.111766
Democratic Republic of Congo,2016,0.156741,0.621668,0.089474,3.248882,0.511706,3.947654,1.339501
Denmark,2016,0.254273,1.005443,0.540381,5.314948,0.885161,3.285642,1.747206
Djibouti,2016,0.174859,0.656732,0.134822,3.560601,0.524045,3.597955,1.591806
Dominica,2016,0.199792,0.888495,0.276527,4.543791,0.894373,2.621363,2.082638
Dominican Republic,2016,0.199078,0.890521,0.300106,4.555483,0.671648,2.99273,1.578866
East Asia,2016,0.334014,0.322501,0.155561,3.059655,1.088912,3.322681,1.243633
Eastern Europe,2016,0.196408,0.680181,0.215673,2.944617,0.870802,3.799274,4.860104
Eastern Sub-Saharan Africa,2016,0.163052,0.623641,0.114202,3.63808,0.508325,3.824076,1.612753
Ecuador,2016,0.20247,0.882354,0.359142,4.303726,0.669108,2.973805,1.725335
Egypt,2016,0.187745,0.774814,0.190609,4.359041,1.468257,3.224017,0.665345
El Salvador,2016,0.197357,0.770066,0.241685,2.943086,0.611135,3.025543,2.66758
England,2016,0.263113,1.106625,0.553328,4.533655,1.681723,4.122186,1.802944
Equatorial Guinea,2016,0.184986,0.623041,0.278128,3.279045,0.556778,4.16468,1.47877
Eritrea,2016,0.158544,0.61714,0.101816,3.660275,0.523399,3.863449,1.736561
Estonia,2016,0.203719,0.708246,0.251266,2.963537,1.12996,3.861329,4.788716
Ethiopia,2016,0.164061,0.627216,0.106542,3.725562,0.495595,3.822573,1.865476
Fiji,2016,0.238295,0.452253,0.146452,3.279308,0.755823,3.176044,1.106866
Finland,2016,0.259967,1.005369,0.593479,3.750722,0.939321,4.825886,2.657734
France,2016,0.256378,0.958875,0.571357,6.632055,1.19465,4.278159,1.440362
Gabon,2016,0.181401,0.638207,0.225076,3.296966,0.570907,4.048539,1.470468
Gambia,2016,0.16963,0.646006,0.11326,2.910321,0.496933,4.148847,0.943562
Georgia,2016,0.196261,0.708685,0.169635,2.600914,0.488798,2.79403,2.077194
Germany,2016,0.251956,0.777822,0.521596,6.54799,0.8909,3.949598,1.874791
Ghana,2016,0.174769,0.641861,0.144081,2.92928,0.620411,3.388093,1.005638
Greece,2016,0.253015,0.948612,0.565342,5.794717,0.549305,4.208264,1.128556
Greenland,2016,0.321111,0.594937,0.537315,5.716279,1.975086,6.272119,3.134969
Grenada,2016,0.199751,0.893483,0.287347,4.53119,0.773229,2.770682,1.741054
Guam,2016,0.261274,0.478342,0.252103,3.310477,0.805646,3.502616,1.271352
Guatemala,2016,0.193053,0.742788,0.230272,2.904734,0.677471,3.231614,2.656497
Guinea,2016,0.166012,0.629384,0.111306,2.89844,0.450933,3.555368,0.944475
Guinea-Bissau,2016,0.162894,0.614515,0.110119,2.913378,0.478736,3.66221,0.980685
Guyana,2016,0.185998,0.845338,0.233461,4.541543,0.726174,4.173174,2.060072
Haiti,2016,0.172228,0.800913,0.160097,4.515562,0.638273,2.959489,1.653282
High SDI,2016,0.29456,0.749726,0.492943,5.314383,1.807539,3.927396,1.587746
High-income,2016,0.288161,0.791974,0.529162,5.677262,1.858439,4.102747,1.576936
High-income Asia Pacific,2016,0.286475,0.652166,0.446584,3.637644,0.912167,3.235259,1.045482
High-middle SDI,2016,0.274292,0.579325,0.221585,3.797694,1.132191,3.574269,1.838081
Honduras,2016,0.18952,0.751426,0.202624,2.87193,0.699991,2.74957,1.767381
Hungary,2016,0.205388,0.703222,0.236107,3.45659,0.708897,2.758478,2.121472
Iceland,2016,0.257376,0.970194,0.557838,5.29282,0.713351,3.360144,1.240083
India,2016,0.259256,0.556744,0.154442,3.298067,0.522072,3.520805,1.125008
Indonesia,2016,0.22926,0.540234,0.145616,3.278178,0.585003,2.633091,0.650252
Iran,2016,0.20139,0.81552,0.231852,6.9876,1.98971,5.077386,0.580181
Iraq,2016,0.189173,0.665932,0.204729,4.716061,1.614594,3.850367,0.652618
Ireland,2016,0.327779,0.80506,0.554509,5.836752,1.053908,4.269448,2.118275
Israel,2016,0.260075,0.924225,0.457104,3.06786,0.710449,3.876893,0.500657
Italy,2016,0.236385,0.946428,0.624953,5.628456,1.184988,3.459977,0.464585
Jamaica,2016,0.199275,0.927481,0.260215,4.576234,0.949323,2.582892,1.437436
Japan,2016,0.298155,0.688317,0.456005,3.566992,0.911801,3.300907,0.579705
Jordan,2016,0.193645,0.811141,0.187787,4.890141,1.61189,3.558849,0.657132
Kazakhstan,2016,0.199423,0.666898,0.225733,2.605924,0.617783,3.513734,3.451337
Kenya,2016,0.170516,0.641343,0.133225,3.636768,0.485365,3.510561,1.248482
Kiribati,2016,0.208158,0.423995,0.092951,3.283057,0.719805,3.17669,1.051966
Kuwait,2016,0.214902,0.864476,0.346072,4.951041,1.597242,3.616657,0.678895
Kyrgyzstan,2016,0.181777,0.663849,0.126846,2.560835,0.519809,3.055067,2.788398
Laos,2016,0.215194,0.532987,0.125113,4.21998,0.662512,2.900348,0.918383
Latin America and Caribbean,2016,0.204877,0.930535,0.285574,4.467768,0.882183,2.948299,2.10213
Latvia,2016,0.19927,0.696271,0.22384,2.944511,1.041067,3.49462,4.435188
Lebanon,2016,0.198207,0.995968,0.218613,6.074404,2.206916,3.703887,0.660091
Lesotho,2016,0.160878,0.606023,0.135087,3.47872,0.768944,5.63577,1.662429
Liberia,2016,0.161041,0.630127,0.090387,2.878097,0.513762,3.793659,0.949899
Libya,2016,0.194301,0.804115,0.208689,4.975948,2.597734,3.799836,0.681672
Lithuania,2016,0.200374,0.699381,0.231187,2.93414,0.618851,4.150702,4.464844
